InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536540,22968,ROSE COTTAGE KEEPSAKE BOX ,4,12/1/2010 14:05,9.95,14911.0,EIRE
536540,85071A,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,6,12/1/2010 14:05,2.95,14911.0,EIRE
536540,85071C,"CHARLIE+LOLA""EXTREMELY BUSY"" SIGN",6,12/1/2010 14:05,2.55,14911.0,EIRE
536540,22355,CHARLOTTE BAG SUKI DESIGN,50,12/1/2010 14:05,0.85,14911.0,EIRE
536540,21579,LOLITA  DESIGN  COTTON TOTE BAG,6,12/1/2010 14:05,2.25,14911.0,EIRE
536540,21576,LETS GO SHOPPING COTTON TOTE BAG,6,12/1/2010 14:05,2.25,14911.0,EIRE
536540,22147,FELTCRAFT BUTTERFLY HEARTS,12,12/1/2010 14:05,1.45,14911.0,EIRE
536540,22150,3 STRIPEY MICE FELTCRAFT,12,12/1/2010 14:05,1.95,14911.0,EIRE
536540,22492,MINI PAINT SET VINTAGE ,36,12/1/2010 14:05,0.65,14911.0,EIRE
536540,22493,PAINT YOUR OWN CANVAS SET,24,12/1/2010 14:05,1.65,14911.0,EIRE
536540,21833,CAMOUFLAGE LED TORCH,12,12/1/2010 14:05,1.69,14911.0,EIRE
536540,85135B,BLUE DRAGONFLY HELICOPTER,2,12/1/2010 14:05,7.95,14911.0,EIRE
536540,85136A,YELLOW SHARK HELICOPTER,2,12/1/2010 14:05,7.95,14911.0,EIRE
536540,85136C,RED SHARK HELICOPTER,2,12/1/2010 14:05,7.95,14911.0,EIRE
536540,21055,TOOL BOX SOFT TOY ,4,12/1/2010 14:05,8.95,14911.0,EIRE
536540,21056,DOCTOR'S BAG SOFT TOY,4,12/1/2010 14:05,8.95,14911.0,EIRE
536540,21889,WOODEN BOX OF DOMINOES,24,12/1/2010 14:05,1.25,14911.0,EIRE
536540,21891,TRADITIONAL WOODEN SKIPPING ROPE,12,12/1/2010 14:05,1.25,14911.0,EIRE
536540,22622,BOX OF VINTAGE ALPHABET BLOCKS,6,12/1/2010 14:05,9.95,14911.0,EIRE
536540,C2,CARRIAGE,1,12/1/2010 14:05,50.0,14911.0,EIRE
536541,21915,RED  HARMONICA IN BOX ,12,12/1/2010 14:05,1.25,14911.0,EIRE
536803,22113,GREY HEART HOT WATER BOTTLE,6,12/2/2010 16:33,3.75,14911.0,EIRE
536975,84352,SILVER CHRISTMAS TREE BAUBLE STAND ,1,12/3/2010 14:04,16.95,14911.0,EIRE
536975,22948,METAL DECORATION NAUGHTY CHILDREN ,24,12/3/2010 14:04,0.85,14911.0,EIRE
536975,22945,CHRISTMAS METAL TAGS ASSORTED ,36,12/3/2010 14:04,0.85,14911.0,EIRE
536975,22944,CHRISTMAS METAL POSTCARD WITH BELLS,24,12/3/2010 14:04,1.25,14911.0,EIRE
536975,22158,3 HEARTS HANGING DECORATION RUSTIC,8,12/3/2010 14:04,2.95,14911.0,EIRE
536975,22572,ROCKING HORSE GREEN CHRISTMAS ,12,12/3/2010 14:04,0.85,14911.0,EIRE
536975,22571,ROCKING HORSE RED CHRISTMAS ,12,12/3/2010 14:04,0.85,14911.0,EIRE
536975,22246,"GARLAND, MAGIC GARDEN 1.8M",12,12/3/2010 14:04,1.95,14911.0,EIRE
536975,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,6,12/3/2010 14:04,2.95,14911.0,EIRE
536975,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,6,12/3/2010 14:04,2.95,14911.0,EIRE
536975,20668,DISCO BALL CHRISTMAS DECORATION,48,12/3/2010 14:04,0.12,14911.0,EIRE
536975,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,24,12/3/2010 14:04,0.85,14911.0,EIRE
536975,22952,60 CAKE CASES VINTAGE CHRISTMAS,24,12/3/2010 14:04,0.55,14911.0,EIRE
536975,21815,STAR  T-LIGHT HOLDER ,24,12/3/2010 14:04,1.45,14911.0,EIRE
536975,35967,FOLK ART METAL STAR T-LIGHT HOLDER,24,12/3/2010 14:04,0.38,14911.0,EIRE
536975,22049,WRAP CHRISTMAS SCREEN PRINT,50,12/3/2010 14:04,0.42,14911.0,EIRE
536975,85032D,YULETIDE IMAGES GIFT WRAP SET,12,12/3/2010 14:04,2.1,14911.0,EIRE
536975,22752,SET 7 BABUSHKA NESTING BOXES,6,12/3/2010 14:04,8.5,14911.0,EIRE
536975,22075,6 RIBBONS ELEGANT CHRISTMAS ,12,12/3/2010 14:04,1.65,14911.0,EIRE
536975,22585,PACK OF 6 BIRDY GIFT TAGS,12,12/3/2010 14:04,1.25,14911.0,EIRE
536975,22844,VINTAGE CREAM DOG FOOD CONTAINER,4,12/3/2010 14:04,8.5,14911.0,EIRE
536975,22845,VINTAGE CREAM CAT FOOD CONTAINER,4,12/3/2010 14:04,6.35,14911.0,EIRE
536975,22846,BREAD BIN DINER STYLE RED ,2,12/3/2010 14:04,16.95,14911.0,EIRE
